source,en,zh-tw,zh-cn
 / 最後更新 , / Last updated, / 最後更新 , / 最后更新
#標籤漫畫,#Tag comics,#標籤漫畫,#标签漫画
&gt;-简称征集中-&lt;/div&gt;,&gt;-Short name pending-&lt;/div&gt;,&gt;-简称征集中-&lt;/div&gt;,&gt;-简称征集中-&lt;/div&gt;
&gt;目录&lt;/div&gt;,&gt;Table of contents&lt;/div&gt;,&gt;目录&lt;/div&gt;,&gt;目录&lt;/div&gt;
- 沒有更多內容了 -,- No more content -,- 沒有更多內容了 -,- 没有更多内容了 -
- 評論區結束 -,- End of comments -,- 評論區結束 -,- 评论区结束 -
-简称征集中-,-Short name pending-,-简称征集中-,-简称征集中-
12 小時,12 hours,12 小時,12 小时
24 小時,24 hours,24 小時,24 小时
3 天,3 days,3 天,3 天
30 天,30 days,30 天,30 天
6 小時,6 hours,6 小時,6 小时
7 天,7 days,7 天,7 天
90 天,90 days,90 天,90 天
<title>百合会每日维护</title>,<title>Yamibo Daily Maintenance</title>,<title>百合会每日维护</title>,<title>百合会每日维护</title>
All,All,全部,全部
Android 的背景同步依賴前景通知。開始同步後，只要通知已成功出現，再縮小 App 也能持續執行。,"Android background sync relies on foreground notifications. After starting sync, as long as the notification appears successfully, the app will continue running even when minimized.",Android 的背景同步依賴前景通知。開始同步後，只要通知已成功出現，再縮小 App 也能持續執行。,Android 的后台同步依赖前台通知。开始同步后，只要通知成功显示，将应用退到后台也能持续执行。
App 內打開,Open in app,App 內打開,应用内打开
App 啟動時同步,Sync on app start,App 啟動時同步,App 启动时同步
App 啟動時清除緩存,Clear cache on app launch,App 啟動時清除緩存,App 启动时清除缓存
App 更新,App updates,App 更新,App 更新
App 系統設定,App system settings,App 系統設定,App 系统设置
App 通知開關,App notification toggle,App 通知開關,App 通知开关
Cancel,Cancel,取消,取消
Close,Close,關閉,关闭
Delete,Delete,刪除,删除
English,English,English,English
Favorites,Favorites,收藏,收藏
Hello,Hello,你好,你好
History,History,紀錄,记录
Home,Home,首頁,首页
Kindle式,Kindle style,Kindle式,Kindle式
Language,Language,語言,语言
Login,Login,登入,登录
L式,L-shaped,L式,L式
Message,Message,訊息,消息
Password,Password,密碼,密码
Profile,Profile,個人資料,个人资料
RSS搜尋目錄,RSS search directory,RSS搜尋目錄,RSS搜索目录
RSS搜尋目錄(#{}),RSS search directory (#{}),RSS搜尋目錄(#{}),RSS搜索目录(#{})清除圖片、頁面與其他暫存資料，釋放目前已使用的儲存空間。,"Clear images, pages, and other temporary data to free storage.",清除圖片、頁面與其他暫存資料，釋放目前已使用的儲存空間。,清除图片、页面与其他暂存资料，释放目前已使用的存储空间。
Save,Save,儲存,保存
Search,Search,搜尋,搜索
Settings,Settings,設定,设置
TODO: 回覆定位跳轉尚未接入,TODO: Reply positioning jump not yet implemented,TODO: 回覆定位跳轉尚未接入,TODO: 回复定位跳转尚未接入
TODO: 消息互動尚未接入,TODO: Message interaction not yet implemented,TODO: 消息互動尚未接入,TODO: 消息互动尚未接入
Tag 內容已更新,Tag content was updated,Tag 內容已更新,Tag 内容已更新
Tag 新增 {} 個帖子,Tag added {} threads,Tag 新增 {} 個帖子,Tag 新增 {} 个帖子
Tag 有新的帖子,Tag has new threads,Tag 有新的帖子,Tag 有新的帖子
Tag 漫畫,Tag comics,Tag 漫畫,Tag 漫画
Tag 頁數變動過大，可能有多個新帖子,Tag page count changed too much; there may be multiple new threads,Tag 頁數變動過大，可能有多個新帖子,Tag 页数变动过大，可能有多个新帖子
Tag 頁面載入失敗,Failed to load tag page,Tag 頁面載入失敗,Tag 页面加载失败
Ta的主題,Their threads,Ta的主題,Ta的主题
Ta的回覆,Their replies,Ta的回覆,Ta的回复
Ta的日志,Their blogs,Ta的日志,Ta的日志
Ta的資料,Their profile,Ta的資料,Ta的资料
User,User,使用者,用户
WebView 打開,Open in WebView,WebView 打開,WebView 打开
[{}/{}] 已載入 #{} {},[{}/{}] Loaded #{} {},[{}/{}] 已載入 #{} {},[{}/{}] 已载入 #{} {}
app dev by thenano,app developed by thenano,app dev by thenano,app dev by thenano
iOS 最多只能在進入背景後維持一小段時間執行。若系統掛起 App，收藏同步仍可能中斷。,"iOS can only run in the background for a short period. If the system suspends the app, favorite sync may still be interrupted.",iOS 最多只能在進入背景後維持一小段時間執行。若系統掛起 App，收藏同步仍可能中斷。,iOS 进入后台后最多只能维持短时间运行。若系统挂起应用，收藏同步仍可能中断。
iOS 目前沒有 Android 那種常駐前景通知與長時間背景同步能力。,iOS currently does not have Android's persistent foreground notifications and long-duration background sync capabilities.,iOS 目前沒有 Android 那種常駐前景通知與長時間背景同步能力。,iOS 目前没有 Android 那种常驻前台通知与长时间后台同步能力。
messages,messages,訊息,消息
tip：長按可詳細編輯收藏路徑,Tip: Long press to edit favorite path in detail,tip：長按可詳細編輯收藏路徑,tip：长按可详细编辑收藏路径
{} - Ta的主題,{} - Threads,{} - Ta的主題,{} - Ta的主题
{} - Ta的日志,{} - Blogs,{} - Ta的日志,{} - Ta的日志
{} · {} 次下載,{} · {} downloads,{} · {} 次下載,{} · {} 次下载
{} 個集合,{} collections,{} 個集合,{} 个集合
{} 天,{} days,{} 天,{} 天
{} 小時,{} hours,{} 小時,{} 小时
